module,file_path,candidate_function_count,priority_high_count,priority_mid_count,priority_low_count,status,has_bench,has_unit_test
features,features/src/linear_least_squares_normal.cpp,0,0,0,0,unassessed,no,no
features,features/src/moment_invariants.cpp,0,0,0,0,unassessed,no,no
features,features/src/moment_of_inertia_estimation.cpp,0,0,0,0,unassessed,no,no
features,features/src/multiscale_feature_persistence.cpp,0,0,0,0,unassessed,no,no
features,features/src/narf.cpp,0,0,0,0,unassessed,no,no
features,features/src/normal_3d.cpp,0,0,0,0,unassessed,no,no
features,features/src/normal_based_signature.cpp,0,0,0,0,unassessed,no,no
features,features/src/organized_edge_detection.cpp,0,0,0,0,unassessed,no,no
features,features/src/our_cvfh.cpp,0,0,0,0,unassessed,no,no
features,features/src/pfh.cpp,0,0,0,0,unassessed,no,no
features,features/src/ppf.cpp,0,0,0,0,unassessed,no,no
features,features/src/principal_curvatures.cpp,0,0,0,0,unassessed,no,no
features,features/src/range_image_border_extractor.cpp,0,0,0,0,unassessed,no,no
features,features/src/rift.cpp,0,0,0,0,unassessed,no,no
features,features/src/rops_estimation.cpp,0,0,0,0,unassessed,no,no
features,features/src/rsd.cpp,0,0,0,0,unassessed,no,no
features,features/src/shot.cpp,0,0,0,0,unassessed,no,no
features,features/src/shot_lrf.cpp,0,0,0,0,unassessed,no,no
features,features/src/spin_image.cpp,0,0,0,0,unassessed,no,no
features,features/src/statistical_multiscale_interest_region_extraction.cpp,0,0,0,0,unassessed,no,no
features,features/src/usc.cpp,0,0,0,0,unassessed,no,no
features,features/src/vfh.cpp,0,0,0,0,unassessed,no,no
filters,filters/include/pcl/filters/approximate_voxel_grid.h,0,0,0,0,unassessed,no,no
filters,filters/include/pcl/filters/bilateral.h,0,0,0,0,unassessed,no,no
filters,filters/include/pcl/filters/box_clipper3D.h,0,0,0,0,unassessed,no,no
filters,filters/include/pcl/filters/clipper3D.h,0,0,0,0,unassessed,no,no
filters,filters/include/pcl/filters/conditional_removal.h,0,0,0,0,unassessed,no,no
filters,filters/include/pcl/filters/convolution.h,0,0,0,0,unassessed,no,no
filters,filters/include/pcl/filters/convolution_3d.h,0,0,0,0,unassessed,no,no
filters,filters/include/pcl/filters/covariance_sampling.h,0,0,0,0,unassessed,no,no
filters,filters/include/pcl/filters/crop_box.h,0,0,0,0,unassessed,no,no
filters,filters/include/pcl/filters/crop_hull.h,0,0,0,0,unassessed,no,no
filters,filters/include/pcl/filters/experimental/functor_filter.h,0,0,0,0,unassessed,no,no
filters,filters/include/pcl/filters/extract_indices.h,0,0,0,0,unassessed,no,no
filters,filters/include/pcl/filters/farthest_point_sampling.h,0,0,0,0,unassessed,no,no
filters,filters/include/pcl/filters/fast_bilateral.h,0,0,0,0,unassessed,no,no
filters,filters/include/pcl/filters/fast_bilateral_omp.h,0,0,0,0,unassessed,no,no
filters,filters/include/pcl/filters/filter.h,0,0,0,0,unassessed,no,no
filters,filters/include/pcl/filters/filter_indices.h,0,0,0,0,unassessed,no,no
filters,filters/include/pcl/filters/frustum_culling.h,0,0,0,0,unassessed,no,no
filters,filters/include/pcl/filters/grid_minimum.h,0,0,0,0,unassessed,no,no
filters,filters/include/pcl/filters/impl/approximate_voxel_grid.hpp,0,0,0,0,unassessed,no,no
filters,filters/include/pcl/filters/impl/bilateral.hpp,0,0,0,0,unassessed,no,no
filters,filters/include/pcl/filters/impl/box_clipper3D.hpp,0,0,0,0,unassessed,no,no
filters,filters/include/pcl/filters/impl/conditional_removal.hpp,0,0,0,0,unassessed,no,no
filters,filters/include/pcl/filters/impl/convolution.hpp,0,0,0,0,unassessed,no,no
filters,filters/include/pcl/filters/impl/convolution_3d.hpp,0,0,0,0,unassessed,no,no
filters,filters/include/pcl/filters/impl/covariance_sampling.hpp,0,0,0,0,unassessed,no,no
filters,filters/include/pcl/filters/impl/crop_box.hpp,0,0,0,0,unassessed,no,no
filters,filters/include/pcl/filters/impl/crop_hull.hpp,0,0,0,0,unassessed,no,no
filters,filters/include/pcl/filters/impl/extract_indices.hpp,0,0,0,0,unassessed,no,no
filters,filters/include/pcl/filters/impl/farthest_point_sampling.hpp,0,0,0,0,unassessed,no,no
filters,filters/include/pcl/filters/impl/fast_bilateral.hpp,0,0,0,0,unassessed,no,no
filters,filters/include/pcl/filters/impl/fast_bilateral_omp.hpp,0,0,0,0,unassessed,no,no
filters,filters/include/pcl/filters/impl/filter.hpp,0,0,0,0,unassessed,no,no
filters,filters/include/pcl/filters/impl/filter_indices.hpp,0,0,0,0,unassessed,no,no
filters,filters/include/pcl/filters/impl/frustum_culling.hpp,0,0,0,0,unassessed,no,no
filters,filters/include/pcl/filters/impl/grid_minimum.hpp,0,0,0,0,unassessed,no,no
filters,filters/include/pcl/filters/impl/local_maximum.hpp,0,0,0,0,unassessed,no,no
filters,filters/include/pcl/filters/impl/median_filter.hpp,0,0,0,0,unassessed,no,no
filters,filters/include/pcl/filters/impl/model_outlier_removal.hpp,0,0,0,0,unassessed,no,no
filters,filters/include/pcl/filters/impl/morphological_filter.hpp,0,0,0,0,unassessed,no,no
filters,filters/include/pcl/filters/impl/normal_refinement.hpp,0,0,0,0,unassessed,no,no
filters,filters/include/pcl/filters/impl/normal_space.hpp,0,0,0,0,unassessed,no,no
filters,filters/include/pcl/filters/impl/passthrough.hpp,0,0,0,0,unassessed,no,no
filters,filters/include/pcl/filters/impl/plane_clipper3D.hpp,0,0,0,0,unassessed,no,no
filters,filters/include/pcl/filters/impl/project_inliers.hpp,0,0,0,0,unassessed,no,no
filters,filters/include/pcl/filters/impl/pyramid.hpp,0,0,0,0,unassessed,no,no
filters,filters/include/pcl/filters/impl/radius_outlier_removal.hpp,0,0,0,0,unassessed,no,no
filters,filters/include/pcl/filters/impl/random_sample.hpp,0,0,0,0,unassessed,no,no
filters,filters/include/pcl/filters/impl/sampling_surface_normal.hpp,0,0,0,0,unassessed,no,no
filters,filters/include/pcl/filters/impl/shadowpoints.hpp,0,0,0,0,unassessed,no,no
filters,filters/include/pcl/filters/impl/statistical_outlier_removal.hpp,0,0,0,0,unassessed,no,no
filters,filters/include/pcl/filters/impl/uniform_sampling.hpp,0,0,0,0,unassessed,no,no
filters,filters/include/pcl/filters/impl/voxel_grid.hpp,0,0,0,0,unassessed,no,no
filters,filters/include/pcl/filters/impl/voxel_grid_covariance.hpp,0,0,0,0,unassessed,no,no
filters,filters/include/pcl/filters/impl/voxel_grid_occlusion_estimation.hpp,0,0,0,0,unassessed,no,no
filters,filters/include/pcl/filters/local_maximum.h,0,0,0,0,unassessed,no,no
filters,filters/include/pcl/filters/median_filter.h,0,0,0,0,unassessed,no,no
filters,filters/include/pcl/filters/model_outlier_removal.h,0,0,0,0,unassessed,no,no
filters,filters/include/pcl/filters/morphological_filter.h,0,0,0,0,unassessed,no,no
filters,filters/include/pcl/filters/normal_refinement.h,0,0,0,0,unassessed,no,no
filters,filters/include/pcl/filters/normal_space.h,0,0,0,0,unassessed,no,no
filters,filters/include/pcl/filters/passthrough.h,0,0,0,0,unassessed,no,no
filters,filters/include/pcl/filters/plane_clipper3D.h,0,0,0,0,unassessed,no,no
filters,filters/include/pcl/filters/project_inliers.h,0,0,0,0,unassessed,no,no
filters,filters/include/pcl/filters/pyramid.h,0,0,0,0,unassessed,no,no
filters,filters/include/pcl/filters/radius_outlier_removal.h,0,0,0,0,unassessed,no,no
filters,filters/include/pcl/filters/random_sample.h,0,0,0,0,unassessed,no,no
filters,filters/include/pcl/filters/sampling_surface_normal.h,0,0,0,0,unassessed,no,no
filters,filters/include/pcl/filters/shadowpoints.h,0,0,0,0,unassessed,no,no
filters,filters/include/pcl/filters/statistical_outlier_removal.h,0,0,0,0,unassessed,no,no
filters,filters/include/pcl/filters/uniform_sampling.h,0,0,0,0,unassessed,no,no
filters,filters/include/pcl/filters/voxel_grid.h,0,0,0,0,unassessed,no,no
filters,filters/include/pcl/filters/voxel_grid_covariance.h,0,0,0,0,unassessed,no,no
filters,filters/include/pcl/filters/voxel_grid_label.h,0,0,0,0,unassessed,no,no
filters,filters/include/pcl/filters/voxel_grid_occlusion_estimation.h,0,0,0,0,unassessed,no,no
filters,filters/src/approximate_voxel_grid.cpp,0,0,0,0,unassessed,no,no
filters,filters/src/bilateral.cpp,0,0,0,0,unassessed,no,no
filters,filters/src/conditional_removal.cpp,0,0,0,0,unassessed,no,no
filters,filters/src/convolution.cpp,0,0,0,0,unassessed,no,no
filters,filters/src/covariance_sampling.cpp,0,0,0,0,unassessed,no,no
filters,filters/src/crop_box.cpp,0,0,0,0,unassessed,no,no
filters,filters/src/crop_hull.cpp,0,0,0,0,unassessed,no,no
filters,filters/src/extract_indices.cpp,0,0,0,0,unassessed,no,no
filters,filters/src/farthest_point_sampling.cpp,0,0,0,0,unassessed,no,no
filters,filters/src/fast_bilateral.cpp,0,0,0,0,unassessed,no,no
filters,filters/src/fast_bilateral_omp.cpp,0,0,0,0,unassessed,no,no
filters,filters/src/filter.cpp,0,0,0,0,unassessed,no,no
filters,filters/src/filter_indices.cpp,0,0,0,0,unassessed,no,no
filters,filters/src/frustum_culling.cpp,0,0,0,0,unassessed,no,no
filters,filters/src/grid_minimum.cpp,0,0,0,0,unassessed,no,no
filters,filters/src/local_maximum.cpp,0,0,0,0,unassessed,no,no
filters,filters/src/median_filter.cpp,0,0,0,0,unassessed,no,no
filters,filters/src/model_outlier_removal.cpp,0,0,0,0,unassessed,no,no
filters,filters/src/morphological_filter.cpp,0,0,0,0,unassessed,no,no
filters,filters/src/normal_refinement.cpp,0,0,0,0,unassessed,no,no
filters,filters/src/normal_space.cpp,0,0,0,0,unassessed,no,no
filters,filters/src/passthrough.cpp,0,0,0,0,unassessed,no,no
filters,filters/src/project_inliers.cpp,0,0,0,0,unassessed,no,no
filters,filters/src/pyramid.cpp,0,0,0,0,unassessed,no,no
filters,filters/src/radius_outlier_removal.cpp,0,0,0,0,unassessed,no,no
filters,filters/src/random_sample.cpp,0,0,0,0,unassessed,no,no
filters,filters/src/sampling_surface_normal.cpp,0,0,0,0,unassessed,no,no
filters,filters/src/shadowpoints.cpp,0,0,0,0,unassessed,no,no
filters,filters/src/statistical_outlier_removal.cpp,0,0,0,0,unassessed,no,no
filters,filters/src/uniform_sampling.cpp,0,0,0,0,unassessed,no,no
filters,filters/src/voxel_grid.cpp,0,0,0,0,unassessed,no,no
filters,filters/src/voxel_grid_covariance.cpp,0,0,0,0,unassessed,no,no
filters,filters/src/voxel_grid_label.cpp,0,0,0,0,unassessed,no,no
filters,filters/src/voxel_grid_occlusion_estimation.cpp,0,0,0,0,unassessed,no,no
geometry,geometry/include/pcl/geometry/boost.h,0,0,0,0,unassessed,no,no
geometry,geometry/include/pcl/geometry/get_boundary.h,0,0,0,0,unassessed,no,no
geometry,geometry/include/pcl/geometry/impl/polygon_operations.hpp,0,0,0,0,unassessed,no,no
geometry,geometry/include/pcl/geometry/line_iterator.h,0,0,0,0,unassessed,no,no
geometry,geometry/include/pcl/geometry/mesh_base.h,0,0,0,0,unassessed,no,no
geometry,geometry/include/pcl/geometry/mesh_circulators.h,0,0,0,0,unassessed,no,no
geometry,geometry/include/pcl/geometry/mesh_conversion.h,0,0,0,0,unassessed,no,no
geometry,geometry/include/pcl/geometry/mesh_elements.h,0,0,0,0,unassessed,no,no
geometry,geometry/include/pcl/geometry/mesh_indices.h,0,0,0,0,unassessed,no,no
geometry,geometry/include/pcl/geometry/mesh_io.h,0,0,0,0,unassessed,no,no
